     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.40003D+02  0.9176935      0.9178414       3.22058      -42.7046     -0.538270E-03  -3.21958       42.7020      0.482751E-02  0.946851E-01  -1.13863     -0.100725E-04 -0.946547E-01   1.13858      0.125514E-03   85.6491     -0.354439       2.11721      0.164566      0.221435E-01  0.221850E-01   1.48440       8.62470      0.395983       1.13787       1.13780               NaN
 0.41001D+02  0.9176935      0.9178361       3.31500      -43.8401     -0.548236E-03  -3.31397       43.8375      0.495715E-02  0.946603E-01  -1.13847     -0.996145E-05 -0.946311E-01   1.13842      0.127066E-03   87.9278     -0.354462       2.11483      0.164571      0.221428E-01  0.221805E-01   1.48238       8.56259      0.395166       1.13783       1.13776               NaN
 0.42000D+02  0.9176935      0.9178500       3.40957      -44.9776     -0.558265E-03  -3.40846       44.9748      0.534295E-02  0.946367E-01  -1.13832     -0.101007E-04 -0.946050E-01   1.13827      0.131829E-03   90.2104     -0.354488       2.11228      0.164557      0.221431E-01  0.221851E-01   1.48832       8.49173      0.394291       1.13780       1.13773               NaN
 0.43006D+02  0.9176935      0.9178500       3.50481      -46.1232     -0.568341E-03  -3.50367       46.1205      0.547620E-02  0.946136E-01  -1.13818     -0.982927E-05 -0.945829E-01   1.13813      0.132545E-03   92.5096     -0.354510       2.10991      0.164557      0.221432E-01  0.221835E-01   1.48607       8.45953      0.393475       1.13776       1.13769               NaN
 0.43994D+02  0.9176934      0.9178500       3.59826      -47.2474     -0.577744E-03  -3.59709       47.2446      0.560685E-02  0.945919E-01  -1.13804     -0.961084E-05 -0.945617E-01   1.13800      0.131936E-03   94.7656     -0.354530       2.10759      0.164557      0.221428E-01  0.221839E-01   1.48599       8.36072      0.392673       1.13773       1.13766               NaN
 0.45003D+02  0.9176935      0.9178497       3.69370      -48.3958     -0.587504E-03  -3.69250       48.3929      0.573913E-02  0.945707E-01  -1.13791     -0.943167E-05 -0.945407E-01   1.13786      0.131545E-03   97.0701     -0.354550       2.10522      0.164557      0.221430E-01  0.221862E-01   1.48927       8.24245      0.391857       1.13770       1.13763               NaN
 0.45993D+02  0.9176935      0.9178550       3.78727      -49.5217     -0.596822E-03  -3.78602       49.5187      0.585483E-02  0.945508E-01  -1.13779     -0.934453E-05 -0.945192E-01   1.13774      0.129743E-03   99.3295     -0.354570       2.10280      0.164552      0.221429E-01  0.221873E-01   1.48341       8.19244      0.391021       1.13767       1.13760               NaN
 0.46999D+02  0.9176919      0.9177565       3.88238      -50.6662     -0.597846E-03  -3.88071       50.6652      0.591425E-02  0.945315E-01  -1.13767     -0.929361E-05 -0.944968E-01   1.13765      0.129189E-03   101.628     -0.354559       2.10140      0.164652      0.221409E-01  0.221284E-01   1.48873       8.12404      0.390513       1.13764       1.13760               NaN
 0.48010D+02  0.9176919      0.9177565       3.97800      -51.8170     -0.607303E-03  -3.97630       51.8161      0.604493E-02  0.945128E-01  -1.13755     -0.935877E-05 -0.944780E-01   1.13754      0.129189E-03   103.938     -0.354577       2.09916      0.164652      0.221405E-01  0.221271E-01   1.48942       7.98689      0.389736       1.13761       1.13757               NaN
 0.49007D+02  0.9176785      0.9177565       4.07209      -52.9512     -0.481011E-03  -4.07047       52.9500      0.617375E-02  0.944936E-01  -1.13745     -0.771162E-05 -0.944603E-01   1.13743      0.129194E-03   106.214     -0.354590       2.09715      0.164666      0.221329E-01  0.221261E-01   1.48487       7.83109      0.389040       1.13758       1.13755               NaN
 0.49991D+02  0.9176785      0.9177644       4.16502      -54.0700     -0.488583E-03  -4.16330       54.0689      0.644159E-02  0.944768E-01  -1.13735     -0.766554E-05 -0.944425E-01   1.13733      0.131143E-03   108.459     -0.354608       2.09513      0.164658      0.221325E-01  0.221281E-01   1.48947       7.68991      0.388340       1.13756       1.13752               NaN
 0.51000D+02  0.9176785      0.9177644       4.26032      -55.2173     -0.499475E-03  -4.25856       55.2161      0.657382E-02  0.944601E-01  -1.13724     -0.768949E-05 -0.944260E-01   1.13723      0.131020E-03   110.762     -0.354623       2.09300      0.164658      0.221326E-01  0.221283E-01   1.49188       7.54771      0.387603       1.13753       1.13749               NaN
 0.51997D+02  0.9176785      0.9177644       4.35450      -56.3512     -0.507140E-03  -4.35270       56.3500      0.670440E-02  0.944441E-01  -1.13715     -0.767533E-05 -0.944103E-01   1.13713      0.130932E-03   113.037     -0.354638       2.09092      0.164658      0.221328E-01  0.221282E-01   1.48910       7.42845      0.386883       1.13751       1.13747               NaN
 0.53002D+02  0.9176785      0.9177644       4.44942      -57.4940     -0.514852E-03  -4.44759       57.4929      0.683605E-02  0.944288E-01  -1.13705     -0.767869E-05 -0.943950E-01   1.13704      0.131039E-03   115.331     -0.354653       2.08887      0.164658      0.221330E-01  0.221277E-01   1.48786       7.32909      0.386171       1.13749       1.13745               NaN
 0.53992D+02  0.9176803      0.9177603       4.54294      -58.6203     -0.529621E-03  -4.54110       58.6191      0.694123E-02  0.944142E-01  -1.13697     -0.753498E-05 -0.943804E-01   1.13695      0.130853E-03   117.591     -0.354666       2.08685      0.164660      0.221349E-01  0.221261E-01   1.49219       7.23104      0.385470       1.13746       1.13742               NaN
 0.54993D+02  0.9176803      0.9177509       4.63739      -59.7578     -0.537139E-03  -4.63560       59.7564      0.710544E-02  0.944000E-01  -1.13688     -0.749821E-05 -0.943670E-01   1.13686      0.131556E-03   119.873     -0.354679       2.08480      0.164669      0.221351E-01  0.221242E-01   1.49618       7.15482      0.384755       1.13744       1.13740               NaN
 0.55997D+02  0.9176803      0.9177509       4.73213      -60.8987     -0.544649E-03  -4.73030       60.8973      0.723754E-02  0.943863E-01  -1.13680     -0.746474E-05 -0.943532E-01   1.13678      0.131676E-03   122.163     -0.354692       2.08285      0.164669      0.221351E-01  0.221241E-01   1.49746       7.06040      0.384079       1.13742       1.13738               NaN
 0.56995D+02  0.9176803      0.9177509       4.82632      -62.0332     -0.552090E-03  -4.82446       62.0318      0.736897E-02  0.943731E-01  -1.13672     -0.746027E-05 -0.943400E-01   1.13670      0.131692E-03   124.440     -0.354705       2.08095      0.164669      0.221353E-01  0.221241E-01   1.49577       7.03071      0.383418       1.13740       1.13736               NaN
 0.58000D+02  0.9176803      0.9177550       4.92115      -63.1756     -0.559609E-03  -4.91924       63.1741      0.752581E-02  0.943602E-01  -1.13664     -0.747917E-05 -0.943272E-01   1.13662      0.131402E-03   126.732     -0.354718       2.07909      0.164665      0.221350E-01  0.221260E-01   1.49590       7.00275      0.382773       1.13738       1.13734               NaN
 0.58995D+02  0.9176803      0.9177550       5.01505      -64.3066     -0.567056E-03  -5.01310       64.3051      0.765653E-02  0.943478E-01  -1.13657     -0.749198E-05 -0.943149E-01   1.13655      0.131326E-03   129.002     -0.354729       2.07724      0.164665      0.221343E-01  0.221265E-01   1.49995       6.98927      0.382128       1.13736       1.13732               NaN
 0.60003D+02  0.9176803      0.9177549       5.11016      -65.4524     -0.574616E-03  -5.10818       65.4509      0.778867E-02  0.943356E-01  -1.13649     -0.750662E-05 -0.943028E-01   1.13648      0.131284E-03   131.302     -0.354741       2.07538      0.164665      0.221334E-01  0.221263E-01   1.49671       6.89147      0.381480       1.13734       1.13730               NaN
 0.60998D+02  0.9176802      0.9177549       5.20402      -66.5832     -0.582109E-03  -5.20201       66.5817      0.791931E-02  0.943240E-01  -1.13643     -0.757313E-05 -0.942911E-01   1.13641      0.131323E-03   133.571     -0.354752       2.07356      0.164665      0.221328E-01  0.221256E-01   1.49741       6.76637      0.380846       1.13733       1.13729               NaN
 0.62001D+02  0.9176704      0.9177549       5.29864      -67.7237     -0.454834E-03  -5.29661       67.7219      0.805112E-02  0.943126E-01  -1.13636     -0.635133E-05 -0.942796E-01   1.13634      0.131400E-03   135.859     -0.354760       2.07181      0.164675      0.221280E-01  0.221249E-01   1.49536       6.69472      0.380234       1.13731       1.13727               NaN
