     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.23300D+03  0.9991009      0.9983146       26.9249      -7.19262     -0.257509E-03  -26.9391       7.19538     -0.103732E-02  0.519701E-01  0.223646E-02 -0.617974E-06 -0.519928E-01 -0.223516E-02 -0.491637E-05   55.7525       32.8389      0.976739      0.268502E-02  0.327062E-01  0.318637E-01  0.605277       1.85067      0.763872      0.964769E-05  0.964769E-05   836.621    
 0.23700D+03  0.9991051      0.9983118       27.1298      -7.18297     -0.275519E-03  -27.1444       7.18582     -0.105508E-02  0.507384E-01  0.256349E-02 -0.584566E-06 -0.507609E-01 -0.256218E-02 -0.495725E-05   56.1440       32.8388      0.976740      0.268357E-02  0.327187E-01  0.318623E-01  0.608263       1.87730      0.763814      0.944820E-05  0.944820E-05   836.616    
 0.24100D+03  0.9991102      0.9983070       27.3297      -7.17193     -0.265428E-03  -27.3449       7.17497     -0.110565E-02  0.495226E-01  0.288392E-02 -0.582509E-06 -0.495454E-01 -0.288280E-02 -0.502400E-05   56.5256       32.8386      0.976740      0.268343E-02  0.327240E-01  0.318596E-01  0.611130       1.88615      0.763813      0.910300E-05  0.910300E-05   836.609    
 0.24500D+03  0.9991175      0.9983020       27.5249      -7.15972     -0.269122E-03  -27.5405       7.16289     -0.113308E-02  0.483219E-01  0.319756E-02 -0.500394E-06 -0.483449E-01 -0.319621E-02 -0.489177E-05   56.8976       32.8384      0.976741      0.268104E-02  0.327352E-01  0.318556E-01  0.605066       1.89469      0.763800      0.889334E-05  0.889334E-05   836.603    
 0.24900D+03  0.9991261      0.9982945       27.7153      -7.14615     -0.257484E-03  -27.7316       7.14952     -0.115772E-02  0.471345E-01  0.350468E-02 -0.622195E-06 -0.471582E-01 -0.350337E-02 -0.491919E-05   57.2602       32.8381      0.976742      0.267988E-02  0.327533E-01  0.318488E-01  0.607726       1.89415      0.763758      0.849925E-05  0.849925E-05   836.591    
 0.25300D+03  0.9991328      0.9982881       27.9007      -7.13141     -0.227370E-03  -27.9177       7.13497     -0.118826E-02  0.459628E-01  0.380464E-02 -0.840801E-06 -0.459873E-01 -0.380374E-02 -0.479488E-05   57.6127       32.8378      0.976743      0.267958E-02  0.327856E-01  0.318447E-01  0.610346       1.91123      0.763697      0.802002E-05  0.802002E-05   836.578    
 0.25700D+03  0.9991373      0.9982857       28.0822      -7.11551     -0.228890E-03  -28.0996       7.11918     -0.121450E-02  0.448029E-01  0.409975E-02 -0.679629E-06 -0.448271E-01 -0.409883E-02 -0.472829E-05   57.9570       32.8378      0.976744      0.267755E-02  0.327915E-01  0.318465E-01  0.604901       1.94017      0.763682      0.783097E-05  0.783097E-05   836.576    
 0.26100D+03  0.9991399      0.9982843       28.2589      -7.09847     -0.256823E-03  -28.2766       7.10219     -0.121071E-02  0.436571E-01  0.438853E-02 -0.563118E-06 -0.436807E-01 -0.438821E-02 -0.469371E-05   58.2918       32.8378      0.976744      0.267641E-02  0.327971E-01  0.318459E-01  0.610410       1.94306      0.763667      0.766607E-05  0.766607E-05   836.575    
 0.26501D+03  0.9991391      0.9982851       28.4315      -7.08029     -0.243888E-03  -28.4493       7.08402     -0.123717E-02  0.425220E-01  0.467250E-02 -0.563498E-06 -0.425452E-01 -0.467235E-02 -0.473063E-05   58.6179       32.8378      0.976744      0.267639E-02  0.327888E-01  0.318497E-01  0.604303       1.95344      0.763677      0.739940E-05  0.739940E-05   836.578    
 0.26900D+03  0.9991452      0.9982789       28.5988      -7.06104     -0.256161E-03  -28.6171       7.06486     -0.127432E-02  0.414016E-01  0.494984E-02 -0.521888E-06 -0.414242E-01 -0.495021E-02 -0.471999E-05   58.9338       32.8377      0.976745      0.267644E-02  0.328212E-01  0.318446E-01  0.607408       1.95406      0.763648      0.741940E-05  0.741940E-05   836.572    
