"epoch","MoE_0129_92hk0cay - awl_param_class","MoE_0129_92hk0cay - awl_param_class__MIN","MoE_0129_92hk0cay - awl_param_class__MAX","MoE_0129_92hk0cay - _step","MoE_0129_92hk0cay - _step__MIN","MoE_0129_92hk0cay - _step__MAX","MoE_0129_92hk0cay - awl_param_reg","MoE_0129_92hk0cay - awl_param_reg__MIN","MoE_0129_92hk0cay - awl_param_reg__MAX"
"96","0.38279613852500916","0.38279613852500916","0.38279613852500916","96","96","96","0.27733904123306274","0.27733904123306274","0.27733904123306274"
"97","0.37979358434677124","0.37979358434677124","0.37979358434677124","97","97","97","0.2738714814186096","0.2738714814186096","0.2738714814186096"
"98","0.374113529920578","0.374113529920578","0.374113529920578","98","98","98","0.26981320977211","0.26981320977211","0.26981320977211"
"99","0.37108612060546875","0.37108612060546875","0.37108612060546875","99","99","99","0.27029088139533997","0.27029088139533997","0.27029088139533997"
"100","0.382487416267395","0.382487416267395","0.382487416267395","100","100","100","0.2856380343437195","0.2856380343437195","0.2856380343437195"
"101","0.38190796971321106","0.38190796971321106","0.38190796971321106","101","101","101","0.2810773253440857","0.2810773253440857","0.2810773253440857"
"102","0.38115206360816956","0.38115206360816956","0.38115206360816956","102","102","102","0.27665475010871887","0.27665475010871887","0.27665475010871887"
"103","0.37596073746681213","0.37596073746681213","0.37596073746681213","103","103","103","0.27261945605278015","0.27261945605278015","0.27261945605278015"
"104","0.37344640493392944","0.37344640493392944","0.37344640493392944","104","104","104","0.27112969756126404","0.27112969756126404","0.27112969756126404"
"105","0.37037187814712524","0.37037187814712524","0.37037187814712524","105","105","105","0.26675429940223694","0.26675429940223694","0.26675429940223694"
"106","0.3652600944042206","0.3652600944042206","0.3652600944042206","106","106","106","0.26020321249961853","0.26020321249961853","0.26020321249961853"
"107","0.36054304242134094","0.36054304242134094","0.36054304242134094","107","107","107","0.25625208020210266","0.25625208020210266","0.25625208020210266"
"108","0.3556894063949585","0.3556894063949585","0.3556894063949585","108","108","108","0.25306251645088196","0.25306251645088196","0.25306251645088196"
"109","0.3516061007976532","0.3516061007976532","0.3516061007976532","109","109","109","0.2523462772369385","0.2523462772369385","0.2523462772369385"
"110","0.3475051820278168","0.3475051820278168","0.3475051820278168","110","110","110","0.2520081102848053","0.2520081102848053","0.2520081102848053"
"111","0.3446938395500183","0.3446938395500183","0.3446938395500183","111","111","111","0.25297150015830994","0.25297150015830994","0.25297150015830994"
"112","0.34162890911102295","0.34162890911102295","0.34162890911102295","112","112","112","0.2531176507472992","0.2531176507472992","0.2531176507472992"
"113","0.34239986538887024","0.34239986538887024","0.34239986538887024","113","113","113","0.25682878494262695","0.25682878494262695","0.25682878494262695"
"114","0.3392225205898285","0.3392225205898285","0.3392225205898285","114","114","114","0.2538999319076538","0.2538999319076538","0.2538999319076538"
"115","0.3351999521255493","0.3351999521255493","0.3351999521255493","115","115","115","0.2512574791908264","0.2512574791908264","0.2512574791908264"
"116","0.3328924775123596","0.3328924775123596","0.3328924775123596","116","116","116","0.2508649528026581","0.2508649528026581","0.2508649528026581"
"117","0.33027875423431396","0.33027875423431396","0.33027875423431396","117","117","117","0.2508317232131958","0.2508317232131958","0.2508317232131958"
"118","0.32850179076194763","0.32850179076194763","0.32850179076194763","118","118","118","0.25202009081840515","0.25202009081840515","0.25202009081840515"
"119","0.3259090483188629","0.3259090483188629","0.3259090483188629","119","119","119","0.24979737401008606","0.24979737401008606","0.24979737401008606"
"120","0.32341134548187256","0.32341134548187256","0.32341134548187256","120","120","120","0.24934886395931244","0.24934886395931244","0.24934886395931244"
"121","0.3216702938079834","0.3216702938079834","0.3216702938079834","121","121","121","0.25009551644325256","0.25009551644325256","0.25009551644325256"
"122","0.3252742290496826","0.3252742290496826","0.3252742290496826","122","122","122","0.25499409437179565","0.25499409437179565","0.25499409437179565"
"123","0.3233775198459625","0.3233775198459625","0.3233775198459625","123","123","123","0.2522674798965454","0.2522674798965454","0.2522674798965454"
"124","0.32051894068717957","0.32051894068717957","0.32051894068717957","124","124","124","0.24976712465286255","0.24976712465286255","0.24976712465286255"
"125","0.3180507719516754","0.3180507719516754","0.3180507719516754","125","125","125","0.24850867688655853","0.24850867688655853","0.24850867688655853"
"126","0.3176460266113281","0.3176460266113281","0.3176460266113281","126","126","126","0.24948753416538239","0.24948753416538239","0.24948753416538239"
"127","0.3167589008808136","0.3167589008808136","0.3167589008808136","127","127","127","0.2506718933582306","0.2506718933582306","0.2506718933582306"
"128","0.3171844780445099","0.3171844780445099","0.3171844780445099","128","128","128","0.2513977289199829","0.2513977289199829","0.2513977289199829"
"129","0.3153325021266937","0.3153325021266937","0.3153325021266937","129","129","129","0.2483401745557785","0.2483401745557785","0.2483401745557785"
"130","0.31311875581741333","0.31311875581741333","0.31311875581741333","130","130","130","0.2453223317861557","0.2453223317861557","0.2453223317861557"
"131","0.3109745681285858","0.3109745681285858","0.3109745681285858","131","131","131","0.24264274537563324","0.24264274537563324","0.24264274537563324"
"132","0.3087458908557892","0.3087458908557892","0.3087458908557892","132","132","132","0.24075165390968323","0.24075165390968323","0.24075165390968323"
"133","0.3063584864139557","0.3063584864139557","0.3063584864139557","133","133","133","0.2390410304069519","0.2390410304069519","0.2390410304069519"
"134","0.3043217658996582","0.3043217658996582","0.3043217658996582","134","134","134","0.23794730007648468","0.23794730007648468","0.23794730007648468"
"135","0.3024127781391144","0.3024127781391144","0.3024127781391144","135","135","135","0.2373145967721939","0.2373145967721939","0.2373145967721939"
"136","0.30056408047676086","0.30056408047676086","0.30056408047676086","136","136","136","0.2365850806236267","0.2365850806236267","0.2365850806236267"
"137","0.298559308052063","0.298559308052063","0.298559308052063","137","137","137","0.2358182817697525","0.2358182817697525","0.2358182817697525"
